category,layer,head_idx,mean_effect,median_effect,se,n,p_value,fdr_significant
C,2,3,-0.0006454957501626292,-0.0005896393432927105,0.0004904815754727492,22,0.1054534912109375,False
C,2,4,0.0012997904716675578,0.0005073161301018947,0.0013554125609135073,22,0.4825911521911621,False
C,2,5,-0.00015145039546009986,-0.00012206136653222804,0.0004671861459518147,22,0.8237285614013672,False
C,2,6,-0.000242867229593652,-0.00039595359497005195,0.00057425940892505,22,0.2902231216430664,False
C,2,7,-0.0011935201079661519,-3.810715516280267e-05,0.0009997688769683617,22,0.4060330390930176,False
C,2,8,-0.004414704400430003,-0.0023111097295337828,0.0014330759778947706,22,0.0036711692810058594,True
C,2,9,-0.00042550610903931103,-0.0008889532042643913,0.0007465235003646518,22,0.23476219177246094,False
C,2,10,-0.00118759058856164,-0.0005511334048928205,0.0009371388977377387,22,0.1054534912109375,False
C,2,11,0.001608661078083532,0.001241623182260144,0.0021214155891659697,22,0.4825911521911621,False
C,2,12,-0.000157111636101179,-0.0006882141610326748,0.000576801966170416,22,0.3880448341369629,False
C,2,13,-0.0016733546074835881,-0.002029043313452086,0.0033038930821185104,22,0.30530881881713867,False
C,2,14,0.00018563413305115086,0.00046777850864640664,0.0008641200615924167,22,0.3534979820251465,False
C,2,15,0.0011833608231506332,0.0006772882664544585,0.0007858970113453066,22,0.1761918067932129,False
C,3,0,0.0002662588047306763,9.123997140049087e-05,0.0005932456108058711,22,0.8237285614013672,False
C,3,1,-0.0008107228862647549,-0.001523847300257563,0.001194352979175819,22,0.4825911521911621,False
C,3,2,0.02521052620739882,0.024550827310296335,0.00718720294552628,22,0.0016727447509765625,True
C,3,3,-0.0009059336026953427,-0.00010253387353754181,0.001035788955178381,22,0.6788630485534668,False
C,3,4,0.0033446175750274716,0.003940105719988135,0.0012007848404853379,22,0.004684925079345703,True
C,3,5,0.000919161250946261,0.0021251147549875096,0.0016169364945632528,22,0.3369474411010742,False
C,3,6,-0.0023574199380249055,-0.0007334689407552048,0.0031655551356870233,22,0.774528980255127,False
C,3,7,0.009245239101416478,0.010646290750826723,0.003699691601773514,22,0.03907346725463867,False
C,3,8,0.0003417525192779916,4.135096022606736e-05,0.0009789887577525745,22,0.6788630485534668,False
C,3,9,0.0019699307463653857,0.002399730921185093,0.0016571964070654576,22,0.32088327407836914,False
C,3,10,0.003552051877457911,0.003295204174148042,0.00385169461564447,22,0.30530881881713867,False
C,3,11,-0.00019446855658208066,-0.00022810499385187043,0.00035378332513875537,22,0.7023849487304688,False
C,3,12,-0.00019514892730229368,0.001793585200731385,0.0026621626758893584,22,0.5028400421142578,False
C,3,13,-0.0009955976840342617,0.0005522612852590258,0.0009933283642874666,22,0.7023849487304688,False
C,3,14,-0.0005778064109685,0.0005451867796357105,0.001126001257437793,22,0.7502379417419434,False
C,3,15,7.671546122550843e-05,0.0002174556118589577,0.0007303274424967374,22,0.9492697715759277,False
C,4,0,0.0027202189233938947,0.0012148212258375464,0.00168733981498271,22,0.16585874557495117,False
C,4,1,-0.0021351257439523683,-5.5276173992660114e-05,0.001191149309464739,22,0.27562665939331055,False
C,4,2,-0.010467545558360804,-0.00047469871587667344,0.009924323724624281,22,0.5235109329223633,False
C,4,3,-0.0013339242555395778,-0.001052553307382304,0.0009806621400201992,22,0.24789905548095703,False
C,4,4,0.0007378924973295668,0.0005323740478788512,0.0009141720241900605,22,0.5235109329223633,False
C,4,5,0.0020206842208998913,0.0011612639632310468,0.000850360375865434,22,0.032894134521484375,False
C,4,6,-0.020215584091136562,-0.015148750376471173,0.0040543208983859925,22,3.337860107421875e-06,True
C,4,7,0.00014703058840914555,0.00026456371748538463,0.0005672179397244546,22,0.6327285766601562,False
C,4,8,-0.00299097089736499,-0.0011201126751691662,0.0009877505691141474,22,0.007443428039550781,True
C,4,9,-0.0021080202087134367,-0.0004963232369529778,0.0027040405483271528,22,0.5879268646240234,False
C,4,10,0.00014930359536459914,-0.00026074717402907737,0.00026162120426057717,22,0.5445904731750488,False
C,4,11,-0.0023168127172954103,-0.0025203592553764993,0.0009164352817929919,22,0.022916316986083984,False
C,4,12,0.006676777779181574,0.0031062529610434066,0.003671708184719818,22,0.16585874557495117,False
C,4,13,-0.0020424791656162757,-0.001912211848351856,0.001454187704318384,22,0.16585874557495117,False
C,4,14,-0.0010869896721244054,-0.0015527433423873438,0.0008498735236872914,22,0.20992755889892578,False
C,4,15,-0.012802122247633357,-0.009487251479679014,0.0027522058216127346,22,1.430511474609375e-06,True
C,5,0,0.001885484460718231,0.0014856895586254915,0.0014927463121815168,22,0.4434065818786621,False
C,5,1,-0.0002971926614369922,-0.0005085818581756171,0.0009272014055608874,22,0.7502379417419434,False
C,5,2,-0.0021962518756300318,0.00010531066304182474,0.0032363649498472744,22,0.9492697715759277,False
C,5,3,-0.0019485090894012784,0.00010259802960102857,0.0017751150248687777,22,0.5028400421142578,False
C,5,4,0.00015995305329787217,0.0006656152833033112,0.0007683415694843534,22,0.46277761459350586,False
C,5,5,0.005329746456158585,0.006042843176553353,0.004778839620051059,22,0.3880448341369629,False
C,5,6,0.000741240095750642,0.0007414400437087303,0.0005678540811455446,22,0.09173250198364258,False
C,5,7,-0.0007246763722118213,0.00014937299891360306,0.0006592294087216033,22,0.4434065818786621,False
