category,layer,head_idx,mean_effect,median_effect,se,n,p_value,fdr_significant
C,1,9,-0.0007588318163467855,-0.00045386516237909603,0.00033848947392954766,25,0.00963503122329712,True
C,1,10,-2.8700231030258512e-05,1.7495559408327674e-06,0.00015560422236772145,25,0.8531995415687561,False
C,1,11,0.0033880417406014413,0.0023332734317883788,0.0011043765490811965,25,0.007370948791503906,True
C,2,0,0.002181788072506838,0.0016407329250750144,0.00066864301674876,25,0.0012963414192199707,True
C,2,1,-0.0028277802712594418,-0.0017778539175266179,0.0018234905739690523,25,0.21998637914657593,False
C,2,2,0.00020902791703221782,0.0005426010487642093,0.0004280492690451645,25,0.6915188431739807,False
C,2,3,-5.3967339581940685e-05,-0.00012886765041899873,0.0002742010516219291,25,0.7309892177581787,False
C,2,4,0.0003897068492825256,8.05752323722086e-05,0.0002963880766986366,25,0.325391948223114,False
C,2,5,-0.00025701376908732925,9.30997162167382e-05,0.0003749108621387554,25,0.6338268518447876,False
C,2,6,-0.0012114283553901202,-0.0006166573791491255,0.0005940212980646245,25,0.09031611680984497,False
C,2,7,2.4583152261061227e-05,-0.00011042092021763747,0.00045652910134261654,25,0.7711594104766846,False
C,2,8,-0.00018176125685522297,-7.840662192521304e-05,0.00033742639404962886,25,0.6915188431739807,False
C,2,9,0.0010458923471685366,0.0008922695312724105,0.0005414660228482216,25,0.09573346376419067,False
C,2,10,8.263267377175018e-05,-6.81862778552502e-05,0.000507406361505647,25,0.7111607789993286,False
C,2,11,-0.0008011310086321879,-0.0004583688834791717,0.0003506271472555657,25,0.05157625675201416,False
C,3,0,0.008036009358167616,0.00620588083430249,0.001846082266673357,25,7.49826431274414e-05,True
C,3,1,-0.0005371375868980935,-0.0002765130631402459,0.0003585878090188514,25,0.42614197731018066,False
C,3,2,-0.0001962736608455725,0.00014324284798028047,0.0003656018108286077,25,0.6720751523971558,False
C,3,3,-0.000253182491710768,-0.0003619985048469298,0.00019893969535780234,25,0.11993378400802612,False
C,3,4,0.0001745388151605644,0.0011316473101668765,0.004239765847997701,25,0.7914759516716003,False
C,3,5,0.0020769012772262813,0.0012999785736025748,0.000851052975242824,25,0.034173786640167236,False
C,3,6,0.0031434145424933313,0.0031248939995251177,0.0006737141155527098,25,7.49826431274414e-05,True
C,3,7,0.0011031928633886362,0.000940682602309618,0.0007061208929606246,25,0.013554692268371582,True
C,3,8,-1.9462818842748704e-05,-2.5766298183740422e-05,0.0001915641808817213,25,0.7711594104766846,False
C,3,9,0.0004365278146650851,0.0006447677090241781,0.0002845094846420014,25,0.05157625675201416,False
C,3,10,-0.0014611424647980847,-0.0019309181584889446,0.0007851037535749067,25,0.0709836483001709,False
C,3,11,-6.604419585687421e-05,-0.0004986330136654142,0.0006220818494231359,25,0.6720751523971558,False
C,4,0,0.0003935823160063301,0.0008374604807945895,0.0003246036355602229,25,0.17295855283737183,False
