category,template_id,layer,head_idx,mean_baseline,mean_ablated,mean_delta,n_items
B,B1,8,10,-1.1273178,-0.9006351470947266,0.2266826629638672,5
B,B1,9,6,-1.1273178,-1.1182363510131836,0.009081459045410157,5
B,B1,10,0,-1.1273178,-1.0795135498046875,0.04780426025390625,5
B,B1,10,1,-1.1273178,-0.7405332565307617,0.38678455352783203,5
B,B1,10,7,-1.1273178,-0.3583402633666992,0.7689775466918946,5
B,B1,10,11,-1.1273178,-1.2609601974487306,-0.13364238739013673,5
B,B1,11,3,-1.1273178,-0.8688833236694335,0.25843448638916017,5
B,B1,11,10,-1.1273178,-1.0920372009277344,0.035280609130859376,5
B,B1,11,11,-1.1273178,-1.0111879348754882,0.11612987518310547,5
B,B2,8,3,-0.0116529465,0.06105502446492513,0.0727079709370931,6
B,B2,8,10,-0.0116529465,-0.38989988962809247,-0.3782469431559245,6
B,B2,9,6,-0.0116529465,-0.1805287996927897,-0.16887585322062174,6
B,B2,10,0,-0.0116529465,-0.1735657056172689,-0.16191275914510092,6
B,B2,10,1,-0.0116529465,0.020916144053141277,0.03256909052530924,6
B,B2,10,7,-0.0116529465,0.02514791488647461,0.03680086135864258,6
B,B2,10,11,-0.0116529465,-0.07404645284016927,-0.062393506368001304,6
B,B2,11,3,-0.0116529465,-0.13195308049519858,-0.1203001340230306,6
B,B2,11,10,-0.0116529465,0.03061374028523763,0.0422666867574056,6
B,B2,11,11,-0.0116529465,-0.006435394287109375,0.005217552185058594,6
B,B2,8,3,0.5602789,0.5411780675252279,-0.01910082499186198,6
B,B2,8,10,0.5602789,1.0908184051513672,0.5305395126342773,6
B,B2,9,6,0.5602789,0.6386756896972656,0.07839679718017578,6
B,B2,10,0,0.5602789,0.5236250559488932,-0.03665383656819662,6
B,B2,10,1,0.5602789,0.5225202242533366,-0.03775866826375326,6
B,B2,10,7,0.5602789,1.1146693229675293,0.5543904304504395,6
B,B2,10,11,0.5602789,0.5727260907491049,0.012447198232014975,6
B,B2,11,3,0.5602789,0.5980267524719238,0.037747859954833984,6
B,B2,11,10,0.5602789,0.7694738705952963,0.2091949780782064,6
B,B2,11,11,0.5602789,0.5717759132385254,0.011497020721435547,6
C,C1,0,4,2.8725486,2.767173555162218,-0.10537523693508571,18
C,C1,8,10,2.8725486,3.31520578596327,0.4426569938659668,18
C,C1,8,11,2.8725486,3.279776785108778,0.4072279930114746,18
C,C1,9,8,2.8725486,3.528413030836317,0.6558642387390137,18
C,C1,9,9,2.8725486,2.6903858184814453,-0.1821629736158583,18
C,C1,10,0,2.8725486,2.97452720006307,0.10197840796576606,18
C,C1,10,7,2.8725486,3.503190729353163,0.6306419372558594,18
C,C1,10,10,2.8725486,2.525486469268799,-0.3470623228285048,18
C,C1,11,2,2.8725486,2.4593811564975314,-0.41316763559977215,18
C,C1,11,10,2.8725486,3.3258891105651855,0.4533403184678819,18
C,C2,0,4,2.4699183,2.153940200805664,-0.3159780502319336,1
C,C2,8,10,2.4699183,2.8491201400756836,0.37920188903808594,1
C,C2,8,11,2.4699183,1.0889015197753906,-1.381016731262207,1
C,C2,9,8,2.4699183,0.3437623977661133,-2.1261558532714844,1
C,C2,9,9,2.4699183,1.41650390625,-1.0534143447875977,1
C,C2,10,0,2.4699183,0.19475650787353516,-2.2751617431640625,1
C,C2,10,7,2.4699183,4.509406089782715,2.039487838745117,1
C,C2,10,10,2.4699183,1.740504264831543,-0.7294139862060547,1
C,C2,11,2,2.4699183,1.5158147811889648,-0.9541034698486328,1
C,C2,11,10,2.4699183,3.3470020294189453,0.8770837783813477,1
C,C2,0,4,7.7413044,7.58713976542155,-0.15416431427001953,3
C,C2,8,10,7.7413044,7.796680450439453,0.05537637074788412,3
C,C2,8,11,7.7413044,7.056771914164226,-0.6845321655273438,3
C,C2,9,8,7.7413044,6.284363428751628,-1.4569406509399414,3
C,C2,9,9,7.7413044,6.543703397115071,-1.1976006825764973,3
C,C2,10,0,7.7413044,6.298952102661133,-1.4423519770304363,3
C,C2,10,7,7.7413044,8.913506825764975,1.172202746073405,3
C,C2,10,10,7.7413044,7.030683517456055,-0.7106205622355143,3
C,C2,11,2,7.7413044,7.191020647684733,-0.5502834320068359,3
C,C2,11,10,7.7413044,8.404928843180338,0.6636247634887695,3
C,C2,0,4,7.7229195,6.4274187088012695,-1.2955007553100586,1
C,C2,8,10,7.7229195,7.947178840637207,0.2242593765258789,1
C,C2,8,11,7.7229195,6.592345237731934,-1.1305742263793945,1
C,C2,9,8,7.7229195,5.429903030395508,-2.2930164337158203,1
C,C2,9,9,7.7229195,5.532535552978516,-2.1903839111328125,1
C,C2,10,0,7.7229195,4.089670181274414,-3.633249282836914,1
C,C2,10,7,7.7229195,10.206071853637695,2.483152389526367,1
C,C2,10,10,7.7229195,6.2477521896362305,-1.4751672744750977,1
C,C2,11,2,7.7229195,6.988764762878418,-0.7341547012329102,1
